cdscod;cds;cdscod_cds;adcod;ad;adcod_ad;n_studenti;trial_error;rank_trial_error
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;E2401P013;PSICOLOGIA DINAMICA;E2401P013 - PSICOLOGIA DINAMICA;339;0.358;11
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;E2401P101;PSICOMETRIA CON LABORATORIO DI SPSS 2;E2401P101 - PSICOMETRIA CON LABORATORIO DI SPSS 2;372;0.344;12
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;E2401P012;PSICOLOGIA DEL LAVORO E DELLE ORGANIZZAZIONI;E2401P012 - PSICOLOGIA DEL LAVORO E DELLE ORGANIZZAZIONI;388;0.334;13
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;E2401P028;PSICOLOGIA DEL COMPORTAMENTO ECONOMICO E DEI CONSUMI;E2401P028 - PSICOLOGIA DEL COMPORTAMENTO ECONOMICO E DEI CONSUMI;46;0.272;14
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;E2401P035;CRIMINOLOGIA;E2401P035 - CRIMINOLOGIA;80;0.269;15
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;E2401P026;PSICOLOGIA GIURIDICA;E2401P026 - PSICOLOGIA GIURIDICA;168;0.214;16
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;E2004P044;PSICOLOGIA SOCIALE DELLA COMUNICAZIONE;E2004P044 - PSICOLOGIA SOCIALE DELLA COMUNICAZIONE;7;0.214;16
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;E2401P005;BIOLOGIA E GENETICA;E2401P005 - BIOLOGIA E GENETICA;405;0.193;17
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;E2401P100;ELEMENTI DI PSICOMETRIA CON LABORATORIO DI SPSS 1;E2401P100 - ELEMENTI DI PSICOMETRIA CON LABORATORIO DI SPSS 1;381;0.169;18
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;E2401P029;TECNICHE DEL COLLOQUIO;E2401P029 - TECNICHE DEL COLLOQUIO;117;0.162;19
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;E2401P015;MOTIVAZIONE, EMOZIONE E PERSONALITÀ;E2401P015 - MOTIVAZIONE, EMOZIONE E PERSONALITÀ;179;0.137;20
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;E2401P117;PSICOLOGIA DELL'EDUCAZIONE E DEI PROCESSI DI APPRENDIMENTO;E2401P117 - PSICOLOGIA DELL'EDUCAZIONE E DEI PROCESSI DI APPRENDIMENTO;89;0.135;21
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;E2401P102;FONDAMENTI DI ECONOMIA E STRATEGIA AZIENDALE;E2401P102 - FONDAMENTI DI ECONOMIA E STRATEGIA AZIENDALE;19;0.132;22
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;E2401P120;TEORIE E STRUMENTI PER LA GESTIONE E LO SVILUPPO DEL PERSONALE;E2401P120 - TEORIE E STRUMENTI PER LA GESTIONE E LO SVILUPPO DEL PERSONALE;76;0.125;23
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;E2401P076;STORIA DELLA FILOSOFIA;E2401P076 - STORIA DELLA FILOSOFIA;45;0.122;24
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;E2401P022;PSICOLOGIA DEL CICLO DI VITA;E2401P022 - PSICOLOGIA DEL CICLO DI VITA;126;0.119;25
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;E2401P019;PSICOBIOLOGIA DEI DISTURBI COMPORTAMENTALI;E2401P019 - PSICOBIOLOGIA DEI DISTURBI COMPORTAMENTALI;152;0.112;26
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;E2401P032;COUNSELLING;E2401P032 - COUNSELLING;121;0.099;27
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;E2401P103;PSICOPATOLOGIA GENERALE;E2401P103 - PSICOPATOLOGIA GENERALE;370;0.096;28
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;E2401P065;STORIA DELLA SCIENZA;E2401P065 - STORIA DELLA SCIENZA;17;0.088;29
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;E2401P011;PSICOLOGIA SOCIALE;E2401P011 - PSICOLOGIA SOCIALE;347;0.081;30
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;E2401P006;FILOSOFIA DELLA MENTE, LOGICA E LINGUE NATURALI;E2401P006 - FILOSOFIA DELLA MENTE, LOGICA E LINGUE NATURALI;176;0.08;31
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;E2401P119;RICERCA INTERVENTO DI COMUNITA';E2401P119 - RICERCA INTERVENTO DI COMUNITA';121;0.074;32
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;E2401P030;PSICODINAMICA DELLO SVILUPPO E DELLE RELAZIONI FAMILIARI;E2401P030 - PSICODINAMICA DELLO SVILUPPO E DELLE RELAZIONI FAMILIARI;85;0.071;33
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;E2401P068;SOCIOLOGIA;E2401P068 - SOCIOLOGIA;101;0.069;34
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;E2401P064;FILOSOFIA DELLA SCIENZA;E2401P064 - FILOSOFIA DELLA SCIENZA;68;0.022;35
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;E2401P116;ELEMENTI DI LINGUISTICA E PSICOLINGUISTICA;E2401P116 - ELEMENTI DI LINGUISTICA E PSICOLINGUISTICA;50;0.02;36
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;E2401P031;FATTORI DI RISCHIO E PROTEZIONE NELLA FORMAZIONE DELLA PERSONALITÀ;E2401P031 - FATTORI DI RISCHIO E PROTEZIONE NELLA FORMAZIONE DELLA PERSONALITÀ;199;0.02;36
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;E2004P038;WEB MARKETING;E2004P038 - WEB MARKETING;4;0.0;37
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;E2004P027;COMUNICAZIONE D'IMPRESA;E2004P027 - COMUNICAZIONE D'IMPRESA;7;0.0;37
E2701Q;SCIENZA DEI MATERIALI;E2701Q - SCIENZA DEI MATERIALI;E2701Q034;CHIMICA GENERALE E INORGANICA CON LABORATORIO;E2701Q034 - CHIMICA GENERALE E INORGANICA CON LABORATORIO;65;1.277;1
E2701Q;SCIENZA DEI MATERIALI;E2701Q - SCIENZA DEI MATERIALI;E2702Q099;CHIMICA FISICA APPLICATA;E2702Q099 - CHIMICA FISICA APPLICATA;5;0.9;2
E2701Q;SCIENZA DEI MATERIALI;E2701Q - SCIENZA DEI MATERIALI;E2701Q036;FISICA I CON LABORATORIO;E2701Q036 - FISICA I CON LABORATORIO;50;0.9;2
E2701Q;SCIENZA DEI MATERIALI;E2701Q - SCIENZA DEI MATERIALI;E2701Q037;FISICA II;E2701Q037 - FISICA II;21;0.786;3
E2701Q;SCIENZA DEI MATERIALI;E2701Q - SCIENZA DEI MATERIALI;E2701Q013;CHIMICA FISICA;E2701Q013 - CHIMICA FISICA;25;0.78;4
E2701Q;SCIENZA DEI MATERIALI;E2701Q - SCIENZA DEI MATERIALI;E2701Q002;MATEMATICA II;E2701Q002 - MATEMATICA II;33;0.773;5
E2701Q;SCIENZA DEI MATERIALI;E2701Q - SCIENZA DEI MATERIALI;E2701Q042;LABORATORIO DI FISICA II;E2701Q042 - LABORATORIO DI FISICA II;28;0.714;6
E2701Q;SCIENZA DEI MATERIALI;E2701Q - SCIENZA DEI MATERIALI;E2701Q035;CHIMICA ORGANICA;E2701Q035 - CHIMICA ORGANICA;50;0.59;7
E2701Q;SCIENZA DEI MATERIALI;E2701Q - SCIENZA DEI MATERIALI;E2701Q045;FISICA DEI MATERIALI CON LABORATORIO;E2701Q045 - FISICA DEI MATERIALI CON LABORATORIO;24;0.583;8
E2701Q;SCIENZA DEI MATERIALI;E2701Q - SCIENZA DEI MATERIALI;E2701Q046;STRUTTURA DELLA MATERIA II;E2701Q046 - STRUTTURA DELLA MATERIA II;13;0.577;9
E2701Q;SCIENZA DEI MATERIALI;E2701Q - SCIENZA DEI MATERIALI;E2701Q001;MATEMATICA I;E2701Q001 - MATEMATICA I;51;0.549;10
E2701Q;SCIENZA DEI MATERIALI;E2701Q - SCIENZA DEI MATERIALI;E2701Q012;LABORATORIO DI CHIMICA ANALITICA STRUMENTALE;E2701Q012 - LABORATORIO DI CHIMICA ANALITICA STRUMENTALE;40;0.525;11
E2701Q;SCIENZA DEI MATERIALI;E2701Q - SCIENZA DEI MATERIALI;E2701Q043;STRUTTURA DELLA MATERIA I;E2701Q043 - STRUTTURA DELLA MATERIA I;17;0.412;12
E2701Q;SCIENZA DEI MATERIALI;E2701Q - SCIENZA DEI MATERIALI;E2701Q041;LABORATORIO DI CHIMICA ORGANICA;E2701Q041 - LABORATORIO DI CHIMICA ORGANICA;36;0.361;13
E2701Q;SCIENZA DEI MATERIALI;E2701Q - SCIENZA DEI MATERIALI;E2701Q039;MATEMATICA III;E2701Q039 - MATEMATICA III;14;0.321;14
E2701Q;SCIENZA DEI MATERIALI;E2701Q - SCIENZA DEI MATERIALI;E2702Q046;MARKETING NELL'INDUSTRIA CHIMICA;E2702Q046 - MARKETING NELL'INDUSTRIA CHIMICA;5;0.3;15
E2701Q;SCIENZA DEI MATERIALI;E2701Q - SCIENZA DEI MATERIALI;E2702Q043;CONTROLLO AMBIENTALE E SICUREZZA;E2702Q043 - CONTROLLO AMBIENTALE E SICUREZZA;5;0.3;15
E2701Q;SCIENZA DEI MATERIALI;E2701Q - SCIENZA DEI MATERIALI;E2701Q044;CHIMICA DEI MATERIALI CERAMICI;E2701Q044 - CHIMICA DEI MATERIALI CERAMICI;30;0.283;16
E2701Q;SCIENZA DEI MATERIALI;E2701Q - SCIENZA DEI MATERIALI;E2701Q040;CHIMICA FISICA DEI MATERIALI;E2701Q040 - CHIMICA FISICA DEI MATERIALI;23;0.217;17
E2701Q;SCIENZA DEI MATERIALI;E2701Q - SCIENZA DEI MATERIALI;E2701Q048;CHIMICA DEI MATERIALI POLIMERICI;E2701Q048 - CHIMICA DEI MATERIALI POLIMERICI;16;0.188;18
E2701Q;SCIENZA DEI MATERIALI;E2701Q - SCIENZA DEI MATERIALI;E3001Q052;ELEMENTI DI ELETTRONICA;E3001Q052 - ELEMENTI DI ELETTRONICA;3;0.167;19
E2701Q;SCIENZA DEI MATERIALI;E2701Q - SCIENZA DEI MATERIALI;E2701Q050;COMPLEMENTI DI STRUTTURA DELLA MATERIA;E2701Q050 - COMPLEMENTI DI STRUTTURA DELLA MATERIA;7;0.143;20
E2701Q;SCIENZA DEI MATERIALI;E2701Q - SCIENZA DEI MATERIALI;E0201Q064;PROCESSI INDUSTRIALI E BIORAFFINERIE;E0201Q064 - PROCESSI INDUSTRIALI E BIORAFFINERIE;7;0.143;20
E2701Q;SCIENZA DEI MATERIALI;E2701Q - SCIENZA DEI MATERIALI;E2701Q038;CHIMICA MACROMOLECOLARE CON LABORATORIO;E2701Q038 - CHIMICA MACROMOLECOLARE CON LABORATORIO;35;0.1;21
E2701Q;SCIENZA DEI MATERIALI;E2701Q - SCIENZA DEI MATERIALI;E3201Q084;GESTIONE DI BASE DATI;E3201Q084 - GESTIONE DI BASE DATI;15;0.0;22
E2701Q;SCIENZA DEI MATERIALI;E2701Q - SCIENZA DEI MATERIALI;E2401P064;FILOSOFIA DELLA SCIENZA;E2401P064 - FILOSOFIA DELLA SCIENZA;4;0.0;22
E2702Q;SCIENZE E TECNOLOGIE CHIMICHE;E2702Q - SCIENZE E TECNOLOGIE CHIMICHE;E2702Q082;CHIMICA GENERALE E LABORATORIO;E2702Q082 - CHIMICA GENERALE E LABORATORIO;74;1.507;1
E2702Q;SCIENZE E TECNOLOGIE CHIMICHE;E2702Q - SCIENZE E TECNOLOGIE CHIMICHE;E2702Q089;CHIMICA FISICA II E LABORATORIO;E2702Q089 - CHIMICA FISICA II E LABORATORIO;50;1.47;2
E2702Q;SCIENZE E TECNOLOGIE CHIMICHE;E2702Q - SCIENZE E TECNOLOGIE CHIMICHE;E2702Q092;CHIMICA INORGANICA I E LABORATORIO;E2702Q092 - CHIMICA INORGANICA I E LABORATORIO;54;0.63;3
E2702Q;SCIENZE E TECNOLOGIE CHIMICHE;E2702Q - SCIENZE E TECNOLOGIE CHIMICHE;E2702Q001;MATEMATICA I;E2702Q001 - MATEMATICA I;73;0.63;3
E2702Q;SCIENZE E TECNOLOGIE CHIMICHE;E2702Q - SCIENZE E TECNOLOGIE CHIMICHE;E2702Q009;CHIMICA FISICA I;E2702Q009 - CHIMICA FISICA I;66;0.538;4
E2702Q;SCIENZE E TECNOLOGIE CHIMICHE;E2702Q - SCIENZE E TECNOLOGIE CHIMICHE;E2702Q106;ECONOMIA E GESTIONE DELLE IMPRESE CHIMICHE;E2702Q106 - ECONOMIA E GESTIONE DELLE IMPRESE CHIMICHE;11;0.5;5
E2702Q;SCIENZE E TECNOLOGIE CHIMICHE;E2702Q - SCIENZE E TECNOLOGIE CHIMICHE;E2702Q101;CHIMICA ORGANICA III E LABORATORIO;E2702Q101 - CHIMICA ORGANICA III E LABORATORIO;52;0.394;6
E2702Q;SCIENZE E TECNOLOGIE CHIMICHE;E2702Q - SCIENZE E TECNOLOGIE CHIMICHE;E2702Q045;ELEMENTI DI BIOCHIMICA;E2702Q045 - ELEMENTI DI BIOCHIMICA;54;0.38;7
E2702Q;SCIENZE E TECNOLOGIE CHIMICHE;E2702Q - SCIENZE E TECNOLOGIE CHIMICHE;E2702Q085;CHIMICA ORGANICA I;E2702Q085 - CHIMICA ORGANICA I;56;0.348;8
E2702Q;SCIENZE E TECNOLOGIE CHIMICHE;E2702Q - SCIENZE E TECNOLOGIE CHIMICHE;E2702Q075;MATEMATICA II;E2702Q075 - MATEMATICA II;63;0.254;9
E2702Q;SCIENZE E TECNOLOGIE CHIMICHE;E2702Q - SCIENZE E TECNOLOGIE CHIMICHE;E2702Q004;FISICA II;E2702Q004 - FISICA II;58;0.224;10
E2702Q;SCIENZE E TECNOLOGIE CHIMICHE;E2702Q - SCIENZE E TECNOLOGIE CHIMICHE;E2702Q003;FISICA I;E2702Q003 - FISICA I;63;0.19;11
E2702Q;SCIENZE E TECNOLOGIE CHIMICHE;E2702Q - SCIENZE E TECNOLOGIE CHIMICHE;E2702Q056;OPERAZIONI UNITARIE E FONDAMENTALI;E2702Q056 - OPERAZIONI UNITARIE E FONDAMENTALI;11;0.182;12
E2702Q;SCIENZE E TECNOLOGIE CHIMICHE;E2702Q - SCIENZE E TECNOLOGIE CHIMICHE;E2702Q097;CHIMICA FISICA III E LABORATORIO;E2702Q097 - CHIMICA FISICA III E LABORATORIO;50;0.18;13
E2702Q;SCIENZE E TECNOLOGIE CHIMICHE;E2702Q - SCIENZE E TECNOLOGIE CHIMICHE;E2702Q099;CHIMICA FISICA APPLICATA;E2702Q099 - CHIMICA FISICA APPLICATA;47;0.17;14
E2702Q;SCIENZE E TECNOLOGIE CHIMICHE;E2702Q - SCIENZE E TECNOLOGIE CHIMICHE;E2702Q043;CONTROLLO AMBIENTALE E SICUREZZA;E2702Q043 - CONTROLLO AMBIENTALE E SICUREZZA;17;0.147;15
E2702Q;SCIENZE E TECNOLOGIE CHIMICHE;E2702Q - SCIENZE E TECNOLOGIE CHIMICHE;E2702Q104;SISTEMI DI GESTIONE INDUSTRIALE E DI CERTIFICAZIONE;E2702Q104 - SISTEMI DI GESTIONE INDUSTRIALE E DI CERTIFICAZIONE;15;0.1;16
E2702Q;SCIENZE E TECNOLOGIE CHIMICHE;E2702Q - SCIENZE E TECNOLOGIE CHIMICHE;E2702Q087;CHIMICA ANALITICA E LABORATORIO;E2702Q087 - CHIMICA ANALITICA E LABORATORIO;59;0.068;17
E2702Q;SCIENZE E TECNOLOGIE CHIMICHE;E2702Q - SCIENZE E TECNOLOGIE CHIMICHE;E2702Q058;CHIMICA ANALITICA STRUMENTALE E LABORATORIO;E2702Q058 - CHIMICA ANALITICA STRUMENTALE E LABORATORIO;53;0.047;18
E2702Q;SCIENZE E TECNOLOGIE CHIMICHE;E2702Q - SCIENZE E TECNOLOGIE CHIMICHE;E2702Q073;CHIMICA INORGANICA II E LABORATORIO;E2702Q073 - CHIMICA INORGANICA II E LABORATORIO;44;0.045;19
E2702Q;SCIENZE E TECNOLOGIE CHIMICHE;E2702Q - SCIENZE E TECNOLOGIE CHIMICHE;E2702Q046;MARKETING NELL'INDUSTRIA CHIMICA;E2702Q046 - MARKETING NELL'INDUSTRIA CHIMICA;12;0.042;20
E2702Q;SCIENZE E TECNOLOGIE CHIMICHE;E2702Q - SCIENZE E TECNOLOGIE CHIMICHE;E2702Q094;CHIMICA ORGANICA II E LABORATORIO;E2702Q094 - CHIMICA ORGANICA II E LABORATORIO;62;0.024;21
E2702Q;SCIENZE E TECNOLOGIE CHIMICHE;E2702Q - SCIENZE E TECNOLOGIE CHIMICHE;E2701Q040;CHIMICA FISICA DEI MATERIALI;E2701Q040 - CHIMICA FISICA DEI MATERIALI;3;0.0;22
E2702Q;SCIENZE E TECNOLOGIE CHIMICHE;E2702Q - SCIENZE E TECNOLOGIE CHIMICHE;E2001R014;LOGICA E FILOSOFIA DELLA SCIENZA;E2001R014 - LOGICA E FILOSOFIA DELLA SCIENZA;11;0.0;22
E2702Q;SCIENZE E TECNOLOGIE CHIMICHE;E2702Q - SCIENZE E TECNOLOGIE CHIMICHE;E1301Q066;BIOLOGIA MOLECOLARE;E1301Q066 - BIOLOGIA MOLECOLARE;4;0.0;22
E3001Q;FISICA;E3001Q - FISICA;E3001Q055;ELEMENTI DI FISICA TEORICA;E3001Q055 - ELEMENTI DI FISICA TEORICA;22;1.136;1
E3001Q;FISICA;E3001Q - FISICA;E3001Q054;ELEMENTI DI ASTROFISICA;E3001Q054 - ELEMENTI DI ASTROFISICA;35;0.971;2
E3001Q;FISICA;E3001Q - FISICA;E3001Q038;CHIMICA;E3001Q038 - CHIMICA;181;0.909;3
E3001Q;FISICA;E3001Q - FISICA;E4101B018;ECONOMIA DEI MERCATI MONETARI E FINANZIARI;E4101B018 - ECONOMIA DEI MERCATI MONETARI E FINANZIARI;8;0.75;4
E3001Q;FISICA;E3001Q - FISICA;E3401Q051;GEOFISICA;E3401Q051 - GEOFISICA;8;0.75;4
E3001Q;FISICA;E3001Q - FISICA;E3001Q057;STRUTTURA DELLA MATERIA;E3001Q057 - STRUTTURA DELLA MATERIA;66;0.742;5
E3001Q;FISICA;E3001Q - FISICA;E3001Q043;FISICA III;E3001Q043 - FISICA III;159;0.601;6
E3001Q;FISICA;E3001Q - FISICA;E3001Q046;MECCANICA QUANTISTICA;E3001Q046 - MECCANICA QUANTISTICA;75;0.467;7
E3001Q;FISICA;E3001Q - FISICA;E3001Q040;ANALISI MATEMATICA II;E3001Q040 - ANALISI MATEMATICA II;114;0.434;8
E3001Q;FISICA;E3001Q - FISICA;E3001Q033;ANALISI MATEMATICA I;E3001Q033 - ANALISI MATEMATICA I;106;0.42;9
E3001Q;FISICA;E3001Q - FISICA;E3001Q003;MECCANICA CLASSICA;E3001Q003 - MECCANICA CLASSICA;173;0.405;10
E3001Q;FISICA;E3001Q - FISICA;E3001Q035;ALGEBRA LINEARE E GEOMETRIA;E3001Q035 - ALGEBRA LINEARE E GEOMETRIA;188;0.37;11
E3001Q;FISICA;E3001Q - FISICA;E3001Q042;FISICA II;E3001Q042 - FISICA II;136;0.364;12
E3001Q;FISICA;E3001Q - FISICA;E3001Q036;FISICA I;E3001Q036 - FISICA I;191;0.319;13
E3001Q;FISICA;E3001Q - FISICA;E3001Q037;LABORATORIO I;E3001Q037 - LABORATORIO I;208;0.281;14
E3001Q;FISICA;E3001Q - FISICA;E3001Q067;ELEMENTI DI FISICA MEDICA E AMBIENTALE;E3001Q067 - ELEMENTI DI FISICA MEDICA E AMBIENTALE;50;0.28;15
E3001Q;FISICA;E3001Q - FISICA;E3001Q012;LABORATORIO DI INFORMATICA I;E3001Q012 - LABORATORIO DI INFORMATICA I;194;0.224;16
E3001Q;FISICA;E3001Q - FISICA;E3001Q068;ELEMENTI DI BIOFOTONICA;E3001Q068 - ELEMENTI DI BIOFOTONICA;40;0.2;17
E3001Q;FISICA;E3001Q - FISICA;E2001R014;LOGICA E FILOSOFIA DELLA SCIENZA;E2001R014 - LOGICA E FILOSOFIA DELLA SCIENZA;12;0.167;18
E3001Q;FISICA;E3001Q - FISICA;E3001Q048;FISICA NUCLEARE E SUBNUCLEARE;E3001Q048 - FISICA NUCLEARE E SUBNUCLEARE;87;0.155;19
E3001Q;FISICA;E3001Q - FISICA;E3001Q044;LABORATORIO II;E3001Q044 - LABORATORIO II;130;0.138;20
E3001Q;FISICA;E3001Q - FISICA;E3001Q063;ESPERIMENTAZIONI DI BIOFISICA;E3001Q063 - ESPERIMENTAZIONI DI BIOFISICA;19;0.132;21
E3001Q;FISICA;E3001Q - FISICA;E3001Q010;MATEMATICA PER LA FISICA;E3001Q010 - MATEMATICA PER LA FISICA;116;0.108;22
E3001Q;FISICA;E3001Q - FISICA;E3001Q058;ESPERIMENTAZIONI DI ASTROFISICA;E3001Q058 - ESPERIMENTAZIONI DI ASTROFISICA;19;0.105;23
E3001Q;FISICA;E3001Q - FISICA;E2401P064;FILOSOFIA DELLA SCIENZA;E2401P064 - FILOSOFIA DELLA SCIENZA;10;0.1;24
E3001Q;FISICA;E3001Q - FISICA;E3001Q052;ELEMENTI DI ELETTRONICA;E3001Q052 - ELEMENTI DI ELETTRONICA;37;0.095;25
E3001Q;FISICA;E3001Q - FISICA;E3001Q053;LABORATORIO DI ELETTRONICA;E3001Q053 - LABORATORIO DI ELETTRONICA;11;0.091;26
E3001Q;FISICA;E3001Q - FISICA;E3001Q062;ESPERIMENTAZIONI DI PLASMI;E3001Q062 - ESPERIMENTAZIONI DI PLASMI;15;0.033;27
E3001Q;FISICA;E3001Q - FISICA;E3501Q059;FISICA MATEMATICA;E3501Q059 - FISICA MATEMATICA;27;0.0;28
E3001Q;FISICA;E3001Q - FISICA;E3501Q058;ANALISI NUMERICA;E3501Q058 - ANALISI NUMERICA;4;0.0;28
E3001Q;FISICA;E3001Q - FISICA;E3001Q066;ESPERIMENTAZIONI DI FISICA COMPUTAZIONALE;E3001Q066 - ESPERIMENTAZIONI DI FISICA COMPUTAZIONALE;3;0.0;28
E3001Q;FISICA;E3001Q - FISICA;E3001Q065;ESPERIMENTAZIONI DI FISICA NUCLEARE E SUBNUCLEARE;E3001Q065 - ESPERIMENTAZIONI DI FISICA NUCLEARE E SUBNUCLEARE;19;0.0;28
E3001Q;FISICA;E3001Q - FISICA;E3001Q064;ESPERIMENTAZIONI DI FISICA DEI SOLIDI;E3001Q064 - ESPERIMENTAZIONI DI FISICA DEI SOLIDI;25;0.0;28
E3002Q;OTTICA E OPTOMETRIA;E3002Q - OTTICA E OPTOMETRIA;E3002Q033;OTTICA GEOMETRICA E OFTALMICA CON LABORATORIO;E3002Q033 - OTTICA GEOMETRICA E OFTALMICA CON LABORATORIO;46;2.348;1
E3002Q;OTTICA E OPTOMETRIA;E3002Q - OTTICA E OPTOMETRIA;E3002Q032;ANATOMIA E ISTOLOGIA UMANA E OCULARE;E3002Q032 - ANATOMIA E ISTOLOGIA UMANA E OCULARE;53;2.009;2
E3002Q;OTTICA E OPTOMETRIA;E3002Q - OTTICA E OPTOMETRIA;E3002Q028;SISTEMI OTTICI E OFTALMICI CON LABORATORIO;E3002Q028 - SISTEMI OTTICI E OFTALMICI CON LABORATORIO;45;1.433;3
E3002Q;OTTICA E OPTOMETRIA;E3002Q - OTTICA E OPTOMETRIA;E3002Q006;FISICA I;E3002Q006 - FISICA I;29;1.431;4
E3002Q;OTTICA E OPTOMETRIA;E3002Q - OTTICA E OPTOMETRIA;E3002Q030;STORIA E SVILUPPI DEGLI STRUMENTI OTTICI;E3002Q030 - STORIA E SVILUPPI DEGLI STRUMENTI OTTICI;24;1.146;5
E3002Q;OTTICA E OPTOMETRIA;E3002Q - OTTICA E OPTOMETRIA;E3002Q011;OTTICA DELLA CONTATTOLOGIA GENERALE;E3002Q011 - OTTICA DELLA CONTATTOLOGIA GENERALE;31;1.0;6
E3002Q;OTTICA E OPTOMETRIA;E3002Q - OTTICA E OPTOMETRIA;E3002Q029;INTERAZIONE LUCE MATERIA;E3002Q029 - INTERAZIONE LUCE MATERIA;8;0.875;7
E3002Q;OTTICA E OPTOMETRIA;E3002Q - OTTICA E OPTOMETRIA;E1301Q069;FARMACOLOGIA;E1301Q069 - FARMACOLOGIA;8;0.813;8
E3002Q;OTTICA E OPTOMETRIA;E3002Q - OTTICA E OPTOMETRIA;E0201Q054;FARMACOLOGIA;E0201Q054 - FARMACOLOGIA;10;0.8;9
E3002Q;OTTICA E OPTOMETRIA;E3002Q - OTTICA E OPTOMETRIA;E3002Q034;OPTOMETRIA AVANZATA CON LABORATORIO;E3002Q034 - OPTOMETRIA AVANZATA CON LABORATORIO;17;0.647;10
E3002Q;OTTICA E OPTOMETRIA;E3002Q - OTTICA E OPTOMETRIA;E3002Q002;ISTITUZIONI DI MATEMATICA II;E3002Q002 - ISTITUZIONI DI MATEMATICA II;42;0.536;11
E3002Q;OTTICA E OPTOMETRIA;E3002Q - OTTICA E OPTOMETRIA;E3002Q009;FISICA II;E3002Q009 - FISICA II;14;0.429;12
E3002Q;OTTICA E OPTOMETRIA;E3002Q - OTTICA E OPTOMETRIA;E1901R085;CINEMA E ARTI VISIVE;E1901R085 - CINEMA E ARTI VISIVE;4;0.375;13
E3002Q;OTTICA E OPTOMETRIA;E3002Q - OTTICA E OPTOMETRIA;E3002Q027;CHIMICA;E3002Q027 - CHIMICA;28;0.268;14
E3002Q;OTTICA E OPTOMETRIA;E3002Q - OTTICA E OPTOMETRIA;E3002Q031;FISICA III CON LABORATORIO;E3002Q031 - FISICA III CON LABORATORIO;18;0.25;15
